"Codigo";"Descripcion";"Clasificador";"Indice_IPC";"v_m_IPC";"v_i_a_IPC";"Region";"Periodo_codificado"
Estacional;Na;Categorias;100;0.00;0.00;Noreste;Diciembre - 2016
Estacional;Na;Categorias;100;0.00;0.00;Noroeste;Diciembre - 2016
Estacional;Na;Categorias;100;0.00;0.00;Cuyo;Diciembre - 2016
Estacional;Na;Categorias;100;0.00;0.00;Patagonia;Diciembre - 2016
Estacional;Na;Categorias;100;0.00;0.00;Nacional;Diciembre - 2016
Núcleo;Na;Categorias;100;0.00;0.00;GBA;Diciembre - 2016
Núcleo;Na;Categorias;100;0.00;0.00;Pampeana;Diciembre - 2016
Núcleo;Na;Categorias;100;0.00;0.00;Noreste;Diciembre - 2016
Núcleo;Na;Categorias;100;0.00;0.00;Noroeste;Diciembre - 2016
Núcleo;Na;Categorias;100;0.00;0.00;Cuyo;Diciembre - 2016
Núcleo;Na;Categorias;100;0.00;0.00;Patagonia;Diciembre - 2016
Núcleo;Na;Categorias;100;0.00;0.00;Nacional;Diciembre - 2016
Regulados;Na;Categorias;100;0.00;0.00;GBA;Diciembre - 2016
Regulados;Na;Categorias;100;0.00;0.00;Pampeana;Diciembre - 2016
Regulados;Na;Categorias;100;0.00;0.00;Noreste;Diciembre - 2016
Regulados;Na;Categorias;100;0.00;0.00;Noroeste;Diciembre - 2016
Regulados;Na;Categorias;100;0.00;0.00;Cuyo;Diciembre - 2016
Regulados;Na;Categorias;100;0.00;0.00;Patagonia;Diciembre - 2016
Regulados;Na;Categorias;100;0.00;0.00;Nacional;Diciembre - 2016
B;Na;Bienes y servicios;100;0.00;0.00;GBA;Diciembre - 2016
B;Na;Bienes y servicios;100;0.00;0.00;Pampeana;Diciembre - 2016
B;Na;Bienes y servicios;100;0.00;0.00;Noreste;Diciembre - 2016
B;Na;Bienes y servicios;100;0.00;0.00;Noroeste;Diciembre - 2016
B;Na;Bienes y servicios;100;0.00;0.00;Cuyo;Diciembre - 2016
